Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry OBrien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
St. Bartholomew's Church,2458,1094,8,2,345,1,0,30,1,2,0,0,2,7,119,0,0,0,4,3,569,1
Rockcliffe Park Community Centre,2585,963,3,0,238,0,1,19,0,0,0,0,0,14,141,1,0,0,2,4,538,2
Manor Park Public School,2711,1205,1,4,275,0,3,34,0,2,0,2,1,12,157,2,1,0,3,1,707,0
East Gate Alliance Church,3780,760,7,0,150,1,4,29,0,1,0,1,2,4,107,2,1,1,4,7,436,3
College catholique Samuel-Genest,3780,1141,7,11,182,1,15,49,0,3,0,1,1,24,199,1,2,1,7,5,629,3
Montfort Long Term Care Centre,12,13,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0
Our Lady of Mount Carmel School,1773,544,9,4,78,1,8,30,1,2,1,0,2,16,105,3,1,0,6,5,271,1
St. Laurent Complex,2277,719,3,3,103,0,17,36,1,0,0,0,4,13,143,0,1,0,4,3,387,1
Queen Mary Public School,2956,657,9,11,107,2,23,27,1,1,2,0,0,8,103,2,0,1,4,3,352,1
Overbrook Community Centre,2615,972,8,2,267,0,15,54,1,1,0,1,1,9,156,1,1,1,4,2,447,1
New Edinburgh Square,58,63,0,0,10,0,0,0,0,1,0,0,0,1,6,0,0,0,1,0,43,1
The Edinburgh Retirement Residence,48,22,0,1,3,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,12,0
Presland Residences,68,37,0,0,1,0,4,3,0,0,1,1,1,3,9,0,1,2,0,1,9,1
Heritage Manor,177,115,0,0,11,0,5,1,0,0,0,0,0,0,12,0,0,2,0,2,82,0
Maison Accueil-Sagesse,96,67,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,59,0
Marochel Manor,235,24,0,0,3,1,5,0,0,0,0,0,1,0,2,0,1,0,1,0,9,1
Governor's Walk,60,32,0,0,1,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,21,0
Springfield Residence - Adv 1,0,29,0,0,3,1,0,1,0,0,0,0,0,0,20,0,0,0,0,0,4,0
Champlain Towers - Adv 1,0,66,0,0,8,0,1,9,1,0,0,0,0,0,7,0,0,1,0,0,38,1
St. Laurent Place - Adv 1,0,13,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0
Mario De Giovani Housing - Adv 1,0,52,0,0,1,0,2,3,1,0,0,0,0,3,12,0,0,0,2,0,28,0
Montfort Manor - Adv 1,0,60,0,1,0,0,5,4,1,0,0,0,0,0,12,0,0,0,1,0,36,0
Blackthorne Towers Apartments - Adv 1,0,17,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,14,0
Brittany Place - Adv 1,0,134,0,0,13,0,5,11,0,0,0,0,0,1,27,0,0,0,0,1,76,0
Thomson Terrace Apartments - Adv 1,0,103,0,2,6,1,10,6,0,1,1,0,0,2,21,1,0,0,3,0,49,0
Brittany Park Recreation - Adv 1,0,35,0,0,2,0,1,4,0,0,0,0,0,1,6,0,1,0,0,0,20,0
Le Parc Apartments - Adv 1,0,175,0,0,11,0,2,14,0,0,0,0,1,0,47,0,0,1,0,1,98,0
Liuna Housing 527 - Adv 1,0,28,0,0,2,0,3,1,0,0,0,0,1,0,6,1,0,1,0,0,13,0
Highlands Apartments - Adv 1,0,183,0,0,22,0,4,18,0,0,1,0,0,5,22,0,0,1,1,2,107,0
Brittany Apartments - Adv 1,0,40,2,1,2,0,3,3,0,0,0,0,0,0,9,1,0,0,0,0,18,1
Las Brisas Apartments - Adv 1,0,144,2,0,8,0,10,17,0,0,0,0,0,1,29,0,0,1,0,0,73,3
Crosswinds Apartments - Adv 1,0,156,0,0,7,0,3,22,0,0,0,0,0,3,45,0,0,0,0,0,76,0
Senior's Club 800 - Adv 1,0,87,1,0,1,2,9,9,0,0,0,0,0,1,9,0,1,0,1,0,51,2
Queen Mary Court - Adv 1,0,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
Chateau Donald - Adv 1,0,46,0,1,2,1,3,2,2,1,0,0,1,0,6,0,1,1,1,0,22,2
Donald Court - Adv 1,0,14,0,1,2,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,4,0
St. Laurent Complex - Adv 1,0,366,4,2,30,2,9,28,0,0,2,0,0,2,65,1,1,1,3,1,214,1
Rockcliffe Park Community Centre - Adv 2,0,529,3,0,72,0,3,14,1,2,0,0,0,9,104,0,0,0,2,1,318,0
Polling,25689,9821,61,46,1873,13,167,439,10,17,6,6,18,128,1560,15,12,16,50,40,5318,26
Adv Vote,51378,895,7,2,102,2,12,42,1,2,2,0,0,11,169,1,1,1,5,2,532,1
Total,25689,10716,68,48,1975,15,179,481,11,19,8,6,18,139,1729,16,13,17,55,42,5850,27
